t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0		0		0
503	0.0731584	0.210191	0.455476
504	0.0733038	0.210598	0.456333
505	0.0734493	0.211004	0.45719
506	0.0735947	0.211411	0.458047
507	0.0737402	0.211817	0.458903
508	0.0738856	0.212224	0.459759
509	0.074031	0.21263	0.460615
510	0.0741765	0.213036	0.461471
511	0.0743219	0.213442	0.462326
512	0.0744674	0.213848	0.463181
513	0.0746128	0.214255	0.464036
514	0.0747583	0.21466	0.46489
515	0.0749037	0.215066	0.465744
516	0.0750492	0.215472	0.466598
517	0.0751946	0.215878	0.467452
518	0.07534	0.216284	0.468305
519	0.0754855	0.216689	0.469159
520	0.0756309	0.217095	0.470011
521	0.0757764	0.2175	0.470864
522	0.0759218	0.217906	0.471716
523	0.0760673	0.218311	0.472568
524	0.0762127	0.218717	0.47342
525	0.0763582	0.219122	0.474272
526	0.0765036	0.219527	0.475123
527	0.076649	0.219932	0.475974
528	0.0767945	0.220337	0.476824
529	0.0769399	0.220742	0.477675
530	0.0770854	0.221147	0.478525
531	0.0772308	0.221552	0.479375
532	0.0773763	0.221957	0.480224
533	0.0775217	0.222362	0.481074
534	0.0776672	0.222766	0.481923
535	0.0778126	0.223171	0.482771
536	0.077958	0.223575	0.48362
537	0.0781035	0.22398	0.484468
538	0.0782489	0.224384	0.485316
539	0.0783944	0.224789	0.486164
540	0.0785398	0.225193	0.487011
541	0.0786853	0.225597	0.487858
542	0.0788307	0.226001	0.488705
543	0.0789761	0.226405	0.489551
544	0.0791216	0.226809	0.490398
545	0.079267	0.227213	0.491244
546	0.0794125	0.227617	0.492089
547	0.0795579	0.228021	0.492935
548	0.0797034	0.228425	0.49378
549	0.0798488	0.228828	0.494625
550	0.0799943	0.229232	0.495469
551	0.0801397	0.229635	0.496313
552	0.0802851	0.230039	0.497157
553	0.0804306	0.230442	0.498001
554	0.080576	0.230846	0.498844
555	0.0807215	0.231249	0.499688
556	0.0808669	0.231652	0.50053
557	0.0810124	0.232055	0.501373
558	0.0811578	0.232458	0.502215
559	0.0813033	0.232861	0.503057
560	0.0814487	0.233264	0.503899
561	0.0815941	0.233667	0.50474
562	0.0817396	0.23407	0.505582
563	0.081885	0.234473	0.506422
564	0.0820305	0.234875	0.507263
565	0.0821759	0.235278	0.508103
566	0.0823214	0.23568	0.508943
567	0.0824668	0.236083	0.509783
568	0.0826123	0.236485	0.510622
569	0.0827577	0.236887	0.511462
570	0.0829031	0.23729	0.5123
571	0.0830486	0.237692	0.513139
572	0.083194	0.238094	0.513977
573	0.0833395	0.238496	0.514815
574	0.0834849	0.238898	0.515653
575	0.0836304	0.2393	0.51649
576	0.0837758	0.239702	0.517327
577	0.0839212	0.240103	0.518164
578	0.0840667	0.240505	0.519001
579	0.0842121	0.240907	0.519837
580	0.0843576	0.241308	0.520673
581	0.084503	0.24171	0.521509
582	0.0846485	0.242111	0.522344
583	0.0847939	0.242512	0.523179
